sku_color;sku;old_sku;description;qty_per_box;weight;length;lbs1400;crate_size
BK-KP004-SC GLMRR;BK-KP004-SC;;BAR KICKPLATE 5.75H SEAM COVER GLMRR;;;;;
BOOT-LH-E001 TXPT;BOOT-LH-E001;;BOOT LH EXTERIOR 18H X 6W TXPT;;;;;
BOOT-LH-E004 TXPT;BOOT-LH-E004;;BOOT LH EXTERIOR 12H X 6W TXPT;;;;;
BOOT-LH-E010 TXPT;BOOT-LH-E010;;BOOT LH EXTERIOR 18H X 3W TXPT;;;;;
BOOT-LH-E019 GLBK;BOOT-LH-E019;;HP BOOT RH EXTERIOR 18H X 12W GLBK;;;;;
BOOT-LH-E019 TXPT;BOOT-LH-E019;;HP BOOT LH EXTERIOR 18H X 12W TXPT;;;;;
BOOT-LH-I001 GLBK;BOOT-LH-I001;;BOOT LH INTERIOR 18H X 6W GLBK;;;;;
BOOT-LH-I001 MSS;BOOT-LH-I001 MSS;;BOOT LH INTERIOR 18H X 6W MSS;;;;;
BOOT-LH-I001 TXPT;BOOT-LH-I001;;BOOT LH INTERIOR 18H X 6W TXPT;;;;;
BOOT-LH-I004 GLBK;BOOT-LH-I004;;BOOT LH INTERIOR 12H X 6W GLBK;;;;;
BOOT-LH-I004 MSS;BOOT-LH-I004 MSS;;BOOT LH INTERIOR 12H X 6W MSS;;;;;
BOOT-LH-I010 MSS;BOOT-LH-I010 MSS;;BOOT LH INTERIOR 18H X 3W MSS;;;;;
BOOT-LH-I019 GLBK;BOOT-LH-I019;;BOOT LH INTERIOR 18H X 12W GLBK;;;;;
BOOT-RH-E001 MSS;BOOT-RH-E001 MSS;;BOOT RH EXTERIOR 18H X 6W MSS;;;;;
BOOT-RH-E001 TXPT;BOOT-RH-E001;;BOOT RH EXTERIOR 18H X 6W TXPT;;;;;
BOOT-RH-E004 TXPT;BOOT-RH-E004;;BOOT RH EXTERIOR 12H X 6W TXPT;;;;;
BOOT-RH-E005 TXPT;BOOT-RH-E005;;BOOT RH EXTERIOR 10H X 4W TXPT;;;;;
BOOT-RH-E019 TXPT;BOOT-RH-E019;;HP BOOT RH EXTERIOR 18H X 12W TXPT;;;;;
BOOT-RH-I001 GLBK;BOOT-RH-I001;;BOOT RH INTERIOR 18H X 6W GLBK;;;;;
BOOT-RH-I001 MSS;BOOT-RH-I001 MSS;;BOOT RH INTERIOR 18H X 6W MSS;;;;;
BOOT-RH-I004 MSS;BOOT-RH-I004 MSS;;BOOT RH INTERIOR 12H X 6W MSS;;;;;
BOOT-RH-I005 GLBK;BOOT-RH-I005;;BOOT RH INTERIOR 10H X 4W GLBK;;;;;
BOOT-RH-I005 MSS;BOOT-RH-I005 MSS;;BOOT RH INTERIOR 10H X 4W MSS;;;;;
BOOT-RH-I019 GLBK;BOOT-RH-I019;;BOOT RH INTERIOR 18H X 12W GLBK;;;;;
C-TRIM;C-TRIM;;COLUMN WRAP C-TRIM 12 INCHES;;;;;
CAR-SHF002;CAR-SHF002;;CAR SHELF FRAME 18D X 48W ;;;;;
CAR007 GLBK;CAR007;;SHELF BRACKET LH RH 3 POSITION 18in GLBK;;;;;
CARU-SHF002 GLBK;CARU-SHF002;;SHELF UNLIT MD SOLID 18D X 48W SLIDE FRONT GLBK;;;;;
CD DILWCBSS 4' EXT;CD DILWCBSS 4' EXT;;CUSTOM DELI DILWCBSS 4' EXTERIOR KIT;;;;;
CD DILWCBSS 6' EXT;CD DILWCBSS 6' EXT;;CUSTOM DELI DILWCBSS 6' EXTERIOR KIT;;;;;
CD DILWCBSS 8' EXT;CD DILWCBSS 8' EXT;;CUSTOM DELI DILWCBSS 8' EXTERIOR KIT;;;;;
CD DILWSS 8' EXT;CD DILWSS 8' EXT;;CUSTOM DELI DILWSS 8' EXTERIOR KIT;;;;;
CD ILW 8' EXT;CD ILW 8' EXT;;CUSTOM DELI 8' ILW EXTERIOR KIT;;;;;
CD-KP001-8 TXPT;CD-KP001-8;;CD KICKPLATE 10H 8ft TXPT;;;;;
CD-KP001-SC TXPT;CD-KP001-SC;;CD KICKPLATE 10H SEAM COVER TXPT;;;;;
CD-KP003-8 TXPT;CD-KP003-8;;CD KICKPLATE 8H 8ft TXPT;;;;;
CD001 TXPT;CD001;;CD FRONT PANEL 96in TXPT;;;;;
CD002 TXPT;CD002;;CD LOWER FRONT PANEL 96in TXPT;;;;;
CD003 SS;CD003 SS;;CD KICKPLATE 96in SS;;;;;
CD009 TXPT;CD009;;CD FRONT PANEL 96in TXPT;;;;;
CD017 SS;CD017 SS;;CD KICKPLATE 72in SS;;;;;
CD022 SS;CD022 SS;;CD KICKPLATE 48in SS;;;;;
CD023 TXPT;CD023;;CD FRONT PANEL SEAM COVER TXPT;;;;;
CD024 TXPT;CD024;;CD LOWER FRONT PANEL SEAM COVER TXPT;;;;;
CD025 SS;CD025 SS;;CD KICKPLATE SEAM COVER SS;;;;;
CF-AP001-01;CF-AP001-01;;AP RAIL MODEL 3 RAIL EXTRUSION 3.5in x 8ft (2433.6mm);;;;;
CF-AP002-01;CF-AP002-01;;AP RAIL MODEL 3 RAIL CAPPING;;;;;
CF-AP003-01;CF-AP003-01;;AP RAIL MODEL 3 RAIL END JUNCTION;;;;;
CF-AP008-01;;;AP RAIL MOUNT FOR LEG;;;;;
CF-APR03-01;CF-APR03-01;;ASSET PROTECTION CLIK MODEL 8 FT ASSEMBLY DP;;;;;
CF-APR03-01 CLR;CF-APR03-01;;ASSET PROTECTION CLIK MODEL 8 FT ASSEMBLY DP WITH CLEAR COAT;;;;;
CF-APR03-04;;;AP RAIL LEG PAIR ASSEMBLY;;;;;
CF-APR03-05;;;AP RAIL LEG PAIR ASSEMBLY FIELD CUT;;;;;
CF-APR03-06;;;ASSET PROTECTION CLIK MODEL LEG PAIR ASSEMBLY FIELD CUT;;;;;
CF-KP001-12-V GLBK;CF-KP001-12-V;;KICKPLATE 3.5H 4.5H VENTED 12ft GLBK;;;;;
CF-KP001-12-V TXPT;CF-KP001-12-V;;KICKPLATE 3.5H 4.5H VENTED 12ft TXPT;;;;;
CF-KP001-2DR STG;CF-KP001-2DR;;KICKPLATE 3.5H 4.5H 2dr STG;;;;;
CF-KP001-3-V GLBK;CF-KP001-3-V;;KICKPLATE 3.5H 4.5H VENTED 3ft GLBK;;;;;
CF-KP001-6-V GLBK;CF-KP001-6-V;;KICKPLATE 3.5H 4.5H VENTED 6ft GLBK;;;;;
CF-KP001-8 GLBK;CF-KP001-8;;KICKPLATE 3.5H 4.5H 8ft GLBK;;;;;
CF-KP001-8-V GLBK;CF-KP001-8-V;;KICKPLATE 3.5H 4.5H VENTED 8ft GLBK;;;;;
CF-KP001-8-V TXPT;CF-KP001-8-V;;KICKPLATE 3.5H 4.5H VENTED 8ft TXPT;;;;;
CF-KP001-CRN GLBK;CF-KP001-CRN;;KICKPLATE 3.5H 4.5H CORNER GLBK;;;;;
CF-KP001-EC1-V GLBK;CF-KP001-EC1-V;;KICKPLATE 3.5H 4.5H END CAP VENTED 6ft GLBK;;;;;
CF-KP001-SC GLBK;CF-KP001-SC;;KICKPLATE 3.5H 4.5H SEAM COVER GLBK;;;;;
CF-KP001-SC STG;CF-KP001-SC;;KICKPLATE 3.5H 4.5H SEAM COVER STG;;;;;
CF-KP001-SC TXPT;CF-KP001-SC;;KICKPLATE 3.5H 4.5H SEAM COVER TXPT;;;;;
CF-KP002-8 GLBK;CF-KP002-8;;KICKPLATE 8.5H 8ft GLBK;;;;;
CF-KP002-SC GLBK;CF-KP002-SC;;KICKPLATE 8.5H SEAM COVER GLBK;;;;;
CF-KP003-12-VC GLBK;CF-KP003-12-VC;;KICKPLATE 5.5H 6.5H VENTED CBES 12ft GLBK;;;;;
CF-KP003-6-VC GLBK;CF-KP003-6-VC;;KICKPLATE 5.5H 6.5H VENTED CBES 6ft GLBK;;;;;
CF-KP003-8-VC GLBK;CF-KP003-8-VC;;KICKPLATE 5.5H 6.5H VENTED CBES 8ft GLBK;;;;;
CF-RT001 GLBK;CF-RT001;;THERMOMETER BRACKET GLBK;;;;;
CF-SC001-12 SS;CF-SC001-12 SS;;GLASS CAP 144in SS;;;;;
CF-SC001-8 SS;CF-SC001-8 SS;;GLASS CAP 96in SS;;;;;
CF-SHF018;CF-SHF018;;ROUNDED SHELF FRAME FULL MOON 22D X 48W;;;;;
CF-SHF019;CF-SHF019;;ROUNDED SHELF FRAME FULL MOON 20D X 48W;;;;;
CF-SHF020;CF-SHF020;;ROUNDED SHELF FRAME HALF MOON 14D X 48W;;;;;
CF-SHF021;CF-SHF021;;ROUNDED SHELF FRAME QUARTER MOON 14D X 48W;;;;;
CF-WF001-4 GLBK;CF-WF001-4;;CF UNIVERSAL WIRE FENCE 3in 4ft GLBK;;;;;
CF001 BK;CF001;;;;12;144;0;146
CF002 ALMG;;;"3"" BUMPER, 144""L, ALUMINUM GRAY";;;;;
CF002 BK;CF002;;;;12;144;0;146
CF002 CLGRY;;;"3"" BUMPER, 144""L, COOL GRAY";;;;;
CF002 PRL;;;"3"" BUMPER, 144""L, PEARL 311";;;;;
CF003 BK;;;"1"" BUMPER END, ROUND, MCCUE, BLACK";;;;;
CF005 BK;CF005;;;;12;144;0;146
CF006 BK;CF006;;;;12;144;0;146
CF007 GLBK;CF007;;KICKPLATE CLOSE OFF 4H X 45L X 2LIP GLBK;;1.7;47;0;PETITE
CF007 GLMRR;CF007;;KICKPLATE CLOSE OFF 4H X 45L X 2LIP GLMRR;;;;;
CF007 SS;CF007 SS;;KICKPLATE CLOSE OFF 4H X 45L X 2LIP SS;;1.7;47;0;PETITE
CF007 TXPT;CF007;;KICKPLATE CLOSE OFF 4H X 45L X 2LIP TXPT;;;;;
CF008 GLBK;CF008;;KICKPLATE CLOSE OFF 3.5H GLBK;;;;;
CF008 TXPT;CF008;;KICKPLATE CLOSE OFF 3.5H TXPT;;;;;
CF009 GLBK;CF009;;KICKPLATE CLOSE OFF 6H X 45L X 2LIP GLBK;;;;;
CF009 GLMRR;CF009;;"6""H X 45""L X 2""LIP KICKPLATE CLOSE OFF GLMRR";;;;;
CF010 GLBK;CF010;;KICKPLATE CLOSE OFF 9H GLBK;;;;;
CF010 SS;CF010 SS;;KICKPLATE CLOSE OFF 9H SS;;;;;
CF012 GLBK;CF012;;LH RH BUMPER END 3in GLBK;;;;;
CF016 GLBK;CF016;;SQUARE SENSOR PLATE 3.75W X 3H GLBK;;;;;
CF020 GLBK;CF020;;HONEYCOMB RETAINER 48in GLBK;;;;;
CF025;;;INTERIOR LABEL, CASE IDENTIFICATION;;;;;
CF026;;;SENSOR STICKER;;;;;
CF027;;;LOAD LIMIT STICKER;;;;;
CF028;CF028;;SYSTEM TAG;;;;;
CF028 ;CF028;;;;0;24;0;PETITE
CF028 BKWH;CF028;;SYSTEM TAG BLACK WITH WHITE LETTERS;;;;;
CF029 SS;;;THERMOMETER, WIRE, HILL PHOENIX, STAINLESS STEEL;;;;;
CF030 SS;;;THERMOMETER, WIRE, TYLER-KYSOR, STAINLESS STEEL;;;;;
CF031 BK;;;THERMOMETER, STEM, HUSSMANN, BLACK;;;;;
CF032 SS;;;THERMOMETER, STEM, HUSSMANN, S/S;;;;;
CF036 GLMRR;CF036;;"4 1/2""H X 49""L KICKPLATE CLOSE OFF GLMRR";;;;;
CF037 GLBK;CF037;;SQUARE SENSOR PLATE 4in SQ GLBK;;;;;
CF040 GLBK;CF040;;LOWER MIRROR RETAINER 144in GLBK;;;;;
CF042 GLBK;CF042;;LOWER MIRROR RETAINER 96in GLBK;;;;;
CF043 GLBK;CF043;;UPPER MIRROR RETAINER 2in GLBK;;;;;
CF049 GLBK;CF049;;PTM CLIP GLBK;;;;;
CF049 GLWH;CF049;;PTM CLIP GLWH;;;;;
CF053 GLBK;CF053;;KICKPLATE CLOSE OFF 10H X 45L X 2LIP GLBK;;;;;
CF053 TXPT;CF053;;KICKPLATE CLOSE OFF 10H X 45L X 2LIP TXPT;;;;;
CF056 GLBK;CF056;;KICKPLATE CLOSE OFF 6.5H GLBK;;;;;
CF070 GLBK;CF070;;THERMOMETER HOUSING BRACKET GLBK;;;;;
CF070 SS;CF070 SS;;THERMOMETER HOUSING BRACKET SS;;;;;
CF073 GLBK;CF073;;ACCESS HOLE COVER 5H X 3.125W GLBK;;;;;
CF073 SS;CF073 SS;;ACCESS HOLE COVER 5H X 3.125W SS;;;;;
CF073 TXPT;CF073;;ACCESS HOLE COVER 5H X 3.125W TXPT;;;;;
CF074 GLBK;CF074;;ACCESS HOLE COVER 4H X 2.25W GLBK;;;;;
CF084 GLBK;CF084;;SQUARE SENSOR PLATE 3in SQ GLBK;;;;;
CF084 SMB;CF084;;SQUARE SENSOR PLATE 3in SQ SMB;;;;;
CF087 GLBK;CF087;;WIRE DIVIDER LSHAPE 28D X 11W X 14H GLBK;;;;;
CF090 GLBK;CF090;;KICKPLATE CLOSE OFF 3H GLBK;;;;;
CF090 TXPT;CF090;;KICKPLATE CLOSE OFF 3H TXPT;;;;;
CF094 GLBK;CF094;;KICKPLATE CLOSE OFF 4.25H X 49L X .5LIP GLBK;;;;;
CF101;;;"FOAM 1/8x48x550' CUT TO 12""";;;;;
CF144 BK;CF144;;;;0.1;5;0;PETITE
CF155 BK;;;"TRIM, END PANEL, DOUBLE EDGE, 1 1/2""W, BLACK";;;;;
CF210 GLBK;CF210;;SQUARE SENSOR PLATE 4.5in GLBK;;;;;
CF211 GLBK;CF211;;INSPECTION HOLE COVER 3W X 7.5H GLBK;;;;;
CF214 TXPT;CF214;;KICKPLATE CLOSE OFF 11H X 45L X 2LIP TXPT;;;;;
CF223 GLBK;CF223;;BALLAST BOX 5in X 2.625in FOR LIT SHELF GLBK;;;;;
CF230 BK;;;"2"" BUMPER, RIGID, MCCUE, 144""L, BLACK";;;;;
CF231 BK;;;"2"" BUMPER TRACK, UNIVERSAL, MCCUE, 144""L, BLACK";;;;;
CF237 BK;;;"2"" BUMPER END, MCCUE, BLACK";;;;;
CF251 GLBK;CF251;;BACK PANEL PLUG COVER GLBK;;;;;
CF332 GLBK;CF332;;PTM BRACKET GLBK;;;;;
CF367 TXBK;CF367;;FRP CLOSE OFF TXBK;;;;;
CF384-4 SS;CF384 SS;;SHELF SUPPORT 46.25in SS;;;;;
CF392;CF392;;WIRE RACK PTM CLIP;;;;;
CF430 GLBK;CF430;;ACCESS HOLE COVER 4in X 5in GLBK;;;;;
CF505 GLBK;CF505;;KICKPLATE 62.25in X 3H GLBK;;;;;
CF548;CF548;;ACCESS DOOR COVER;;;;;
CF550 BK;;;FLEXIBLE T TRIM FOR END PANEL .75in BK;;;;;
CF619 BK;;;DATA STRIP 47.5in BK (150/bx);;;;;
CF766-12 GLBK;CF766-12;;SHELF BRACKET LH RH UNIVERSAL 2 POSITIONS 12in GLBK;;;;;
CF766-14 GLBK;CF766-14;;SHELF BRACKET LH RH UNIVERSAL 2 POSITIONS 14in GLBK;;;;;
CF766-18 GLBK;CF766-18;;SHELF BRACKET LH RH UNIVERSAL 2 POSITIONS 18in GLBK;;;;;
CF766-20 GLBK;CF766-20;;SHELF BRACKET LH RH UNIVERSAL 2 POSITIONS 20in GLBK;;;;;
CF796;;;WALMART ASSET TAG;;;;;
CF796 ;CF796;;;;0;0;0;PETITE
CF816-P01;CF816-P01;;QUARTER MOON FENCE;;;;;
CF816-P02;CF816-P02;;HALF MOON FENCE;;;;;
CF821;;;MOUNTING BLOCK FOR THERMOMETER, OFF WHITE;;;;;
CF824-LH;CF824-LH;;CF CANOPY CLOSE OFF LH;;;;;
CF824-RH;CF824-RH;;CF CANOPY CLOSE OFF RH;;;;;
CF825 GLBK;CF825;;END PANEL CLOSE OFF 4in X 2in X 78in GLBK;;;;;
CF959 BK;;;"TY PLASTIC LINER 1/8"" 48"" x 96"", BLACK";;;;;
CF969 GLWH;CF969;;WALL MOUNTING BRACKET 14in WITH HARDWARE GLWH;;;;;
CF969-1 GLWH;CF969-1;;WALL MOUNTING BRACKET 14in PART 1 (L-SHAPE) GLWH;;;;;
CF969-2 GLWH;CF969-2;;WALL MOUNTING BRACKET 14in PART 2 (BRACE) GLWH;;;;;
CF969-3 GLWH;CF969-3;;WALL MOUNTNG PLATE FOR END GLWH;;;;;
CF969-END GLWH;CF969-END;;WALL MOUNTING BRACKET 14in FOR END WITH HARDWARE GLWH;;;;;
CFU-SHF018 GLBK;CFU-SHF018;;ROUNDED SHELF FULL MOON 22D X 48W UNIVERSAL GLBK;;;;;
CFU-SHF019 GLBK;CFU-SHF019;;ROUNDED SHELF FULL MOON 20D X 48W UNIVERSAL GLBK;;;;;
CFU-SHF020 GLBK;CFU-SHF020;;ROUNDED SHELF HALF MOON 14D X 48W UNIVERSAL GLBK;;;;;
CFU-SHF021 GLBK;CFU-SHF021;;ROUNDED SHELF QUARTER MOON 14D X 48W UNIVERSAL GLBK;;;;;
CSC C3NBRSS 12' E WM;CSC C3NBRSS 12' E WM;;CSC C3NBRSS 12' EXTERIOR KIT (WALMART STYLE);;;;;
CSC C3NBRSS 8' E WM;CSC C3NBRSS 8' E WM;;CSC C3NBRSS 8' EXTERIOR KIT (WALMART STYLE);;;;;
CSC018-6 TXPT;CSC018-6;;CSC CANOPY 6ft TXPT;;;;;
CSC018-8 TXPT;CSC018-8;;CSC CANOPY 8ft TXPT;;;;;
CSC018-SC TXPT;CSC018-SC;;CSC CANOPY SEAM COVER TXPT;;;;;
CSC022-6 TXPT;CSC022-6;;CSC FRONT PANEL 8in X 4.125in X 6ft TXPT;;;;;
CSC022-8 TXPT;CSC022-8;;CSC FRONT PANEL 8in X 4.125in X 8ft TXPT;;;;;
CSC022-SC TXPT;CSC022-SC;;CSC FRONT PANEL SEAM COVER 8in X 4.125in TXPT;;;;;
CSC025-6TH TXPT;CSC025-6TH;;CSC KICKPLATE 72.125in WITH THERMOMETER HOLE TXPT ;;;;;
CSC025-8TH TXPT;CSC025-8TH;;CSC KICKPLATE 96.125in WITH THERMOMETER HOLE TXPT;;;;;
CSC025-SC TXPT;CSC025-SC;;CSC KICKPLATE SEAM COVER TXPT;;;;;
CW-10;CW-10;;COLUMN 10in SQUARE WRAP;;;;;
CW-10-ASSY;CW-10-ASSY;;COLUMN 10in SQUARE WRAP ASSEMBLY;;;;;
CW-5;CW-5;;COLUMN 5in SQUARE WRAP;;;;;
