location;warehouse_number;qty;sku_color_id;amount_needed
B08-01;499 A;100;HP405 ALMG;0
B08-02;499 A;116;KW-KP001-12 TXPT;0
B08-03;499 A;60;HP-FP054-12 TXPT;0
B09-02;499 A;97;HP680 TXPT;0
B09-03;499 A;10;HP652 TXPT;0
B10-01;499 A;54;TY005 BK;0
B10-02;499 A;91;HP-RT003-12 TXPT;0
B10-03;499 A;56;HP645 TXPT;0
C01-01;499 A;30;HU-FP061-EC1 TXPT;0
C01-01;499 A;500;TY002 BK;0
C01-02;499 A;180;HP-RT004-8 TXPT;0
C01-02;499 A;492;HP-FP001-SC TXPT;0
C01-02;499 A;500;HP005 GLBK;0
C01-03;499 A;40;TY-CN014-8 TXPT;0
C01-03;499 A;192;HP-RT003-SC TXPT;0
C01-03;499 A;81;HP662 TXPT;0
C02-01;499 A;32;HU-FP054-3DR TXPT;0
C02-01;499 A;264;KW-CN008-SC TXPT;0
C02-02;499 A;57;HP-CN002-8 TXPT;0
C02-02;499 A;1152;HU-CN009-SC TXPT;0
C02-03;499 A;48;HU-KP001-3DR SS;0
C02-03;499 A;324;ZZ-CN001-SC TXPT;0
C03-01;499 A;60;KW-KP007-6 GLBK;0
C03-01;499 A;156;KW506 TXPT;0
C03-01;499 A;60;HU-KP001-SC SS;0
C03-02;499 A;130;HP-FP002-8 TXPT;0
C03-02;499 A;630;HU-FP054-SC TXPT;0
C03-02;499 A;324;HP681 TXPT;0
C03-03;499 A;36;KW-KP001-8 TXPT;0
C03-03;499 A;60;HU-KP021-EC2 GLBK;0
C04-01;499 A;35;TY165 TXPT;0
C04-01;499 A;288;HU669 SS;0
C04-02;499 A;60;HP-FP001-8 TXPT;0
C04-02;499 A;1356;HP-FP042-SC TXPT;0
C04-02;499 A;210;KW-KP001-SC TXPT;0
C04-03;499 A;0;HP-RT005-3DR GLBK;0
C04-03;499 A;180;HU-FP061-SC TXPT;0
C04-03;499 A;60;HP661 TXPT;0
C05-01;499 A;64;HP-RT005-3DR TXPT;0
C05-01;499 A;480;TY008 BK;0
C05-01;499 A;144;HU332 SS;0
C05-02;499 A;304;CF-KP001-8-V GLBK;0
C05-02;499 A;194;HP-RT005-SC GLBK;0
C05-02;499 A;252;HP-RT007-SC TXPT;0
C05-03;499 A;21;KW172 TXPT;0
C05-03;499 A;144;KW-FP012-SC TXPT;0
C05-03;499 A;40;KW-KP007-4 GLBK;0
C06-01;499 A;35;TY177 TXPT;0
C06-01;499 A;100;CF144 BK;0
C06-01;499 A;84;HU348 SS;0
C06-02;499 A;62;TY038 TXPT;0
C06-02;499 A;1458;HP-RT005-SC TXPT;0
C06-02;499 A;240;HU-KP021-SC GLBK;0
C06-03;499 A;56;HP644 TXPT;0
C06-03;499 A;216;ZZ060 TXPT;0
C06-03;499 A;2553;CF-KP001-SC GLBK;0
C07-01;499 A;20;HP651 TXPT;0
C07-01;499 A;24;TY010 BK;0
C07-01;499 A;384;HP006 GLBK;0
C07-02;499 A;66;HU-KP021-EC1 GLBK;0
C07-02;499 A;1152;HP-FP002-SC TXPT;0
C07-02;499 A;270;HP653 TXPT;0
C07-03;499 A;27;ZZ-FP001-3DR TXPT;0
C08-01;499 A;56;HP663 TXPT;0
C08-01;499 A;150;TY011 BK;0
C08-01;499 A;360;KW680 SS;0
C08-02;499 A;82;HU-KP021-8 GLBK;0
C08-02;499 A;200;CF007 GLBK;0
C08-02;499 A;212;CF007 SS;0
C08-03;499 A;54;HP-RT007-8 TXPT;0
C08-03;499 A;209;ZZ058 GLBK;0
C09-01;499 A;54;HU666 SS;0
C09-01;499 A;72;HP461 BK;0
C09-01;499 A;96;HP073 SS;0
C09-02;499 A;12;HP648 TXPT;0
C09-02;499 A;180;HP-CN002-SC TXPT;0
C09-02;499 A;354;TY-FP014-SC TXPT;0
C09-03;499 A;76;KW679 SS;0
C10-01;499 A;30;ZZ-KP001-3DR-V GLBK;0
C10-01;499 A;209;HP659 SS;0
C10-02;499 A;1122;HP-RT004-SC TXPT;0
C10-02;499 A;308;TY-CN014-SC TXPT;0
C10-03;499 A;70;HP-FP042-3DR TXPT;0
C10-03;499 A;90;TY204 TXPT;0
D01-01;499 A;21;KW-CN008-8 TXPT;0
D01-01;499 A;180;KW-KP007-SC GLBK;0
D01-02;499 A;80;CF-KP001-EC1-V GLBK;0
D01-02;499 A;480;KW163-SC TXPT;0
D01-02;499 A;102;HP-FP043-SC TXPT;0
D01-03;499 A;77;HP631 TXPT;0
D01-03;499 A;324;HP646 TXPT;0
D02-01;499 A;74;HP664 TXPT;0
D02-02;499 A;30;KW-FP025-8 TXPT;0
D02-03;499 A;50;HU667 SS;0
E01-02;499 A;54;HP-RT007-12 TXPT;0
E01-03;499 A;45;KW-FP012-12 TXPT;0
E02-02;499 A;50;HU668 SS;0
E02-03;499 A;30;KW-FP025-12 TXPT;0
E03-01;499 A;208;HP-RT005-5DR TXPT;0
E03-02;499 A;18;HP-RT005-5DR GLBK;0
E03-03;499 A;30;HU-FP061-12 TXPT;0
E04-01;499 A;150;HU-CN009-5DR TXPT;0
E04-02;499 A;36;HU-KP001-5DR SS;0
E04-03;499 A;90;ZZ-FP001-5DR TXPT;0
E05-01;499 A;20;HP-FP043-5DR TXPT;0
E05-02;499 A;132;HU-KP001-5DR GLBK;0
E05-03;499 A;90;ZZ-CN001-5DR TXPT;0
E06-02;499 A;187;HP-FP042-5DR TXPT;0
E06-03;499 A;90;ZZ-KP001-5DR-V GLBK;0
E07-01;499 A;150;HP076 BK;0
E07-02;499 A;70;HU129 TXPT;0
E07-03;499 A;100;ZZ002 BK;0
F01-01;499 A;32;HU-FP061-EC2L TXPT;0
F01-01;499 A;107;HU1294 TXPT;0
F01-02;499 A;32;HU-CN009-3DR TXPT;0
F01-03;499 A;378;HU-KP001-SC GLBK;0
F02-01;499 A;50;TY-FP014-8 TXPT;0
F02-01;499 A;123;TY222 TXPT;0
F02-02;499 A;148;TY-FP014-EC1 TXPT;0
F02-02;499 A;194;ZZ-KP001-SC GLBK;0
F03-01;499 A;29;KW-FP012-8 TXPT;0
F03-01;499 A;103;HP073 TXPT;0
F03-02;499 A;30;HU-FP061-8 TXPT;0
F03-02;499 A;158;CF-KP001-3-V GLBK;0
F03-03;499 A;25;HU1445 TXPT;0
F03-03;499 A;48;HU980 TXPT;0
F04-01;499 A;39;ZZ-CN001-3DR TXPT;0
F04-01;499 A;727;HP677 TXPT;0
F04-02;499 A;68;TY-FP014-6 TXPT;0
F04-02;499 A;164;TY032 TXPT;0
F04-03;499 A;143;HP926 TXPT;0
F04-03;499 A;84;HP-KP001-SC GLBK;0
